"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=954, FN=0, Flags=.......TC"
"2","0.000022057","aa:3a:0e:b6:ed:12","IPv4mcast_fb","802.11","127","QoS Data, SN=21, FN=0, Flags=.p.....TC"
"3","0.000042437","aa:3a:0e:b6:ed:12","IPv4mcast_fb","802.11","127","QoS Data, SN=21, FN=0, Flags=.p..R..TC"
"4","0.000060572","aa:3a:0e:b6:ed:12","IPv4mcast_fb","802.11","127","QoS Data, SN=21, FN=0, Flags=.p..R..TC"
"5","0.000084481","aa:3a:0e:b6:ed:12","IPv4mcast_fb","802.11","127","QoS Data, SN=21, FN=0, Flags=.p..R..TC"
"6","0.206276368","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=958, FN=0, Flags=.......TC"
"7","0.206295977","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=958, FN=0, Flags=....R..TC"
"8","0.206307711","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=958, FN=0, Flags=....R..TC"
"9","0.206319522","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=958, FN=0, Flags=....R..TC"
"10","0.206330569","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=958, FN=0, Flags=....R..TC"
"11","0.209249017","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=958, FN=0, Flags=....R..TC"
"12","0.613610556","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=967, FN=0, Flags=.......TC"
"13","0.818401750","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=971, FN=0, Flags=.......TC"
"14","1.023090693","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=975, FN=0, Flags=.......TC"
"15","1.855347441","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","191","QoS Data, SN=1037, FN=0, Flags=.p.....TC"
"16","2.453439422","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1091, FN=0, Flags=.p.....TC"
"17","6.094346570","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=984, FN=0, Flags=....R..TC"
"18","11.376652593","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=992, FN=0, Flags=.......TC"
"19","11.379865926","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","120","QoS Data, SN=48, FN=0, Flags=.p.....TC"
"20","11.469386966","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=993, FN=0, Flags=.......TC"
"21","11.626173327","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=994, FN=0, Flags=...P...TC"
"22","11.656785409","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=995, FN=0, Flags=.......TC"
"23","11.728388403","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=996, FN=0, Flags=...P...TC"
"24","13.169989001","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=1102, FN=0, Flags=.p.....TC"
"25","13.183034807","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1103, FN=0, Flags=.p.....TC"
"26","13.192970749","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=1104, FN=0, Flags=.p.....TC"
"27","13.220271181","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1105, FN=0, Flags=.p.....TC"
"28","13.220329611","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1106, FN=0, Flags=.p.....TC"
"29","13.220399616","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1107, FN=0, Flags=.p.....TC"
"30","13.220449862","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1108, FN=0, Flags=.p.....TC"
"31","13.234106912","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","211","QoS Data, SN=1109, FN=0, Flags=.p.....TC"
"32","13.252915066","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1004","QoS Data, SN=1110, FN=0, Flags=.p.....TC"
"33","13.367267680","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=998, FN=0, Flags=...P...TC"
"34","13.960542663","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=999, FN=0, Flags=.......TC"
"35","13.960545274","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=999, FN=0, Flags=....R..TC"
"36","13.960547668","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=999, FN=0, Flags=....R..TC"
"37","13.960584097","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=999, FN=0, Flags=....R..TC"
"38","13.970252318","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=999, FN=0, Flags=....R..TC"
"39","13.970266160","aa:3a:0e:b6:ed:12","IPv4mcast_fb","802.11","184","QoS Data, SN=1112, FN=0, Flags=.p.....TC"
"40","14.133787692","aa:3a:0e:b6:ed:12","IPv4mcast_fb","802.11","179","Data, SN=3842, FN=0, Flags=.p....F.C"
"41","14.186974754","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1000, FN=0, Flags=...P...TC"
"42","14.245053796","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","185","QoS Data, SN=1113, FN=0, Flags=.p..R..TC"
"43","14.271186189","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=1114, FN=0, Flags=.p.....TC"
"44","14.296039225","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1115, FN=0, Flags=.p.....TC"
"45","14.305646405","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=1116, FN=0, Flags=.p.....TC"
"46","14.397834385","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=1117, FN=0, Flags=.p.....TC"
"47","14.427257037","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1118, FN=0, Flags=.p..R..TC"
"48","14.449870330","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1119, FN=0, Flags=.p.....TC"
"49","14.478218585","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=1120, FN=0, Flags=.p..R..TC"
"50","14.514841994","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1121, FN=0, Flags=.p.....TC"
"51","14.655666611","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=1123, FN=0, Flags=.p.....TC"
"52","14.715388828","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=1124, FN=0, Flags=.p.....TC"
"53","14.715411154","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=1125, FN=0, Flags=.p.....TC"
"54","14.718608904","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=1125, FN=0, Flags=.p..R..TC"
"55","14.718648872","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=1125, FN=0, Flags=.p..R..TC"
