"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Clear-to-send, Flags=........C"
"2","0.000022979","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","151","QoS Data, SN=209, FN=0, Flags=.p.....TC"
"3","0.000043656","5a:ef:68:0f:bd:90 (5a:ef:68:0f:bd:90) (TA)","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","70","802.11 Block Ack, Flags=........C"
"4","0.117830868","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Clear-to-send, Flags=........C"
"5","0.117854582","aa:3a:0e:b6:ed:12","IPv4mcast_fb","802.11","162","QoS Data, SN=210, FN=0, Flags=.p.....TC"
"6","0.117875712","5a:ef:68:0f:bd:90 (5a:ef:68:0f:bd:90) (TA)","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","70","802.11 Block Ack, Flags=........C"
"7","0.124190339","aa:3a:0e:b6:ed:12","IPv4mcast_16","802.11","135","QoS Data, SN=10, FN=0, Flags=.p.....TC"
"8","0.124230983","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"9","0.205527094","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Clear-to-send, Flags=........C"
"10","0.205550647","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=211, FN=0, Flags=.p.....TC"
"11","0.205572910","5a:ef:68:0f:bd:90 (5a:ef:68:0f:bd:90) (TA)","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","70","802.11 Block Ack, Flags=........C"
"12","0.305303382","aa:3a:0e:b6:ed:12","IPv4mcast_fb","802.11","157","Data, SN=1070, FN=0, Flags=.pm...F.C"
"13","0.342253167","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Clear-to-send, Flags=........C"
"14","0.342277554","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","135","QoS Data, SN=212, FN=0, Flags=.p.....TC"
"15","0.342299182","5a:ef:68:0f:bd:90 (5a:ef:68:0f:bd:90) (TA)","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","70","802.11 Block Ack, Flags=........C"
"16","0.345496493","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=59, FN=0, Flags=...P...TC"
"17","0.345536906","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=59, FN=0, Flags=...P...TC"
"18","0.345552395","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=59, FN=0, Flags=...PR..TC"
"19","0.345566217","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=59, FN=0, Flags=...PR..TC"
"20","0.345581046","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=59, FN=0, Flags=...PR..TC"
"21","0.345593514","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"22","0.488093407","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Clear-to-send, Flags=........C"
"23","0.488116291","aa:3a:0e:b6:ed:12","IPv4mcast_16","802.11","135","QoS Data, SN=11, FN=0, Flags=.p..R..TC"
"24","0.488137333","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"25","0.488151436","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=60, FN=0, Flags=.......TC"
"26","0.488164324","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"27","0.510531127","aa:3a:0e:b6:ed:12","IPv4mcast_16","802.11","130","Data, SN=1075, FN=0, Flags=.p....F.C"
"28","0.757268700","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=61, FN=0, Flags=...P...TC"
"29","0.757286877","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"30","0.802552079","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=62, FN=0, Flags=.......TC"
"31","0.802565442","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"32","0.882015523","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=63, FN=0, Flags=...P...TC"
"33","0.882054279","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"34","2.193395555","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=64, FN=0, Flags=.......TC"
"35","2.193410411","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"36","2.193428003","aa:3a:0e:b6:ed:12","IPv4mcast_16","802.11","135","QoS Data, SN=12, FN=0, Flags=.p.....TC"
"37","2.193441778","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"38","2.193464267","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Clear-to-send, Flags=........C"
"39","2.193477676","aa:3a:0e:b6:ed:12","IPv4mcast_7f:ff:fa","802.11","260","QoS Data, SN=213, FN=0, Flags=.p.....TC"
"40","2.193489918","5a:ef:68:0f:bd:90 (5a:ef:68:0f:bd:90) (TA)","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","70","802.11 Block Ack, Flags=........C"
"41","2.203910557","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=65, FN=0, Flags=...P...TC"
"42","2.203926312","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"43","2.250165919","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=66, FN=0, Flags=.......TC"
"44","2.250183647","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"45","2.289799455","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=67, FN=0, Flags=...P...TC"
"46","2.289840303","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=67, FN=0, Flags=...P...TC"
"47","2.289856141","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=67, FN=0, Flags=...PR..TC"
"48","2.289874469","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=67, FN=0, Flags=...PR..TC"
"49","2.293145153","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=67, FN=0, Flags=...PR..TC"
"50","2.293182737","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"51","2.354557848","aa:3a:0e:b6:ed:12","IPv4mcast_16","802.11","130","Data, SN=1101, FN=0, Flags=.pm...F.C"
"52","2.357832498","aa:3a:0e:b6:ed:12","IPv4mcast_7f:ff:fa","802.11","255","Data, SN=1102, FN=0, Flags=.pm...F.C"
"53","2.473930503","aa:3a:0e:b6:ed:12","IPv4mcast_16","802.11","135","QoS Data, SN=13, FN=0, Flags=.p.....TC"
"54","2.473971759","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"55","2.473987957","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=68, FN=0, Flags=.......TC"
"56","2.474002263","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Acknowledgement, Flags=........C"
"57","2.573171748","aa:3a:0e:b6:ed:12","IPv4mcast_16","802.11","130","Data, SN=1111, FN=0, Flags=.pm...F.C"
"58","2.605835044","","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","52","Clear-to-send, Flags=........C"
"59","2.605859965","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","150","QoS Data, SN=214, FN=0, Flags=.p.....TC"
"60","2.605882100","5a:ef:68:0f:bd:90 (5a:ef:68:0f:bd:90) (TA)","aa:3a:0e:b6:ed:12 (aa:3a:0e:b6:ed:12) (RA)","802.11","70","802.11 Block Ack, Flags=........C"
