"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","141","Probe Request, SN=0, FN=0, Flags=........C, SSID=""James"""
"2","0.013117468","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","141","Probe Request, SN=1, FN=0, Flags=........C, SSID=""James"""
"3","0.013162262","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","141","Probe Request, SN=1, FN=0, Flags=....R...C, SSID=""James"""
"4","0.022918760","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=1349, FN=0, Flags=........C, BI=100, SSID=""James"""
"5","0.031831672","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","72","Authentication, SN=2, FN=0, Flags=....R...C"
"6","0.049800904","aa:3a:0e:b6:ed:12","Broadcast","802.11","88","Data, SN=1353, FN=0, Flags=.p....F.C"
"7","0.066129614","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=1354, FN=0, Flags=........C, BI=100, SSID=""James"""
"8","0.069513906","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","72","Authentication, SN=1355, FN=0, Flags=........C"
"9","0.143438019","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","220","Association Request, SN=3, FN=0, Flags=........C, SSID=""James"""
"10","0.169606632","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","EAPOL","175","Key (Message 1 of 4)"
"11","0.176531690","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","177","Association Response, SN=1357, FN=0, Flags=........C"
"12","0.900830584","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=4, FN=0, Flags=...P...TC"
"13","1.018303873","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=5, FN=0, Flags=.......TC"
"14","1.184073241","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","EAPOL","175","Key (Message 1 of 4)"
"15","1.204720104","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","EAPOL","197","Key (Message 2 of 4)"
"16","1.249116188","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","EAPOL","231","Key (Message 3 of 4)"
"17","1.256149946","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","EAPOL","175","Key (Message 4 of 4)"
"18","1.272440980","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","75","Action, SN=6, FN=0, Flags=........C, Dialog Token=1"
