"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1634, FN=0, Flags=...P...TC"
"2","0.027475257","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1635, FN=0, Flags=.......TC"
"3","0.200591012","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1636, FN=0, Flags=...P...TC"
"4","0.249700475","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1637, FN=0, Flags=.......TC"
"5","0.276997812","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","523","QoS Data, SN=2330, FN=0, Flags=.p.....TC"
"6","0.289027880","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2331, FN=0, Flags=.p.....TC"
"7","0.289034022","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2332, FN=0, Flags=.p.....TC"
"8","0.321456155","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2333, FN=0, Flags=.p.....TC"
"9","0.321473932","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2334, FN=0, Flags=.p.....TC"
"10","0.321502584","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2335, FN=0, Flags=.p.....TC"
"11","0.331126903","","aa:3a:0e:b6:ed:12","802.11","2653","QoS Data, SN=2730, FN=0, Flags=.p....F.C"
"12","0.331142656","","aa:3a:0e:b6:ed:12","802.11","2653","QoS Data, SN=2731, FN=0, Flags=.p....F.C"
"13","0.341005356","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2336, FN=0, Flags=.p.....TC"
"14","0.341031222","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2337, FN=0, Flags=.p.....TC"
"15","0.341070186","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2338, FN=0, Flags=.p.....TC"
"16","0.341079041","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2339, FN=0, Flags=.p.....TC"
"17","0.347514367","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2340, FN=0, Flags=.p.....TC"
"18","0.354967734","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2341, FN=0, Flags=.p.....TC"
"19","0.364701923","","aa:3a:0e:b6:ed:12","802.11","2653","QoS Data, SN=2767, FN=0, Flags=.p....F.C"
"20","0.371329652","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2342, FN=0, Flags=.p.....TC"
"21","0.371365583","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2343, FN=0, Flags=.p.....TC"
"22","0.371440268","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2344, FN=0, Flags=.p.....TC"
"23","0.371453930","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2345, FN=0, Flags=.p.....TC"
"24","0.371466655","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2346, FN=0, Flags=.p.....TC"
"25","0.371478836","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2347, FN=0, Flags=.p.....TC"
"26","0.371490671","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2348, FN=0, Flags=.p.....TC"
"27","0.374511857","","aa:3a:0e:b6:ed:12","802.11","2653","QoS Data, SN=2789, FN=0, Flags=.p....F.C"
"28","0.374528829","","aa:3a:0e:b6:ed:12","802.11","2653","QoS Data, SN=2790, FN=0, Flags=.p....F.C"
"29","0.384355093","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2345, FN=0, Flags=.p..R..TC"
"30","0.384372992","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2346, FN=0, Flags=.p..R..TC"
"31","0.384383624","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2347, FN=0, Flags=.p..R..TC"
"32","0.384415264","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2349, FN=0, Flags=.p.....TC"
"33","0.384444646","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2345, FN=0, Flags=.p..R..TC"
"34","0.384454675","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2346, FN=0, Flags=.p..R..TC"
"35","0.384464417","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2347, FN=0, Flags=.p..R..TC"
"36","0.384474124","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2350, FN=0, Flags=.p.....TC"
"37","0.384483919","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2351, FN=0, Flags=.p.....TC"
"38","0.384493525","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2352, FN=0, Flags=.p.....TC"
"39","0.384521479","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2349, FN=0, Flags=.p..R..TC"
"40","0.384541284","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2345, FN=0, Flags=.p..R..TC"
"41","0.384551036","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2346, FN=0, Flags=.p..R..TC"
"42","0.384560983","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2347, FN=0, Flags=.p..R..TC"
"43","0.384570567","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=2350, FN=0, Flags=.p..R..TC"
