"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=367, FN=0, Flags=.......TC"
"2","0.000008645","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=367, FN=0, Flags=....R..TC"
"3","0.000011127","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=367, FN=0, Flags=....R..TC"
"4","0.000013488","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=367, FN=0, Flags=....R..TC"
"5","0.000018293","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=367, FN=0, Flags=....R..TC"
"6","0.000020428","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=367, FN=0, Flags=....R..TC"
"7","0.003505862","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=367, FN=0, Flags=....R..TC"
"8","0.003550258","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=367, FN=0, Flags=....R..TC"
"9","0.003552937","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=367, FN=0, Flags=....R..TC"
"10","0.003555121","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=367, FN=0, Flags=....R..TC"
"11","0.016479994","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","162","QoS Data, SN=121, FN=0, Flags=.p..R..TC"
"12","0.026273988","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=368, FN=0, Flags=...P...TC"
"13","0.026287724","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=368, FN=0, Flags=...P...TC"
"14","0.026296845","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=368, FN=0, Flags=...PR..TC"
"15","0.026304102","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=368, FN=0, Flags=...PR..TC"
"16","0.064948769","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=369, FN=0, Flags=....R..TC"
"17","0.064989434","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=369, FN=0, Flags=....R..TC"
"18","0.068186107","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=369, FN=0, Flags=....R..TC"
"19","0.068224843","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=369, FN=0, Flags=....R..TC"
"20","0.068239607","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=369, FN=0, Flags=....R..TC"
"21","0.068267144","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=369, FN=0, Flags=....R..TC"
"22","0.084524829","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=370, FN=0, Flags=.......TC"
"23","0.084564101","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=370, FN=0, Flags=....R..TC"
"24","0.084579895","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=370, FN=0, Flags=....R..TC"
"25","0.084594779","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=370, FN=0, Flags=....R..TC"
"26","0.087919218","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","162","QoS Data, SN=121, FN=0, Flags=.p..R..TC"
"27","0.097743798","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","162","QoS Data, SN=121, FN=0, Flags=.p..R..TC"
"28","0.107895618","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","162","QoS Data, SN=121, FN=0, Flags=.p..R..TC"
"29","0.121289808","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","162","QoS Data, SN=121, FN=0, Flags=.p..R..TC"
"30","0.127880949","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","162","QoS Data, SN=121, FN=0, Flags=.p..R..TC"
"31","0.131474934","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=371, FN=0, Flags=...P...TC"
"32","0.131514446","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=371, FN=0, Flags=...PR..TC"
"33","0.131529774","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=371, FN=0, Flags=...PR..TC"
"34","0.131544851","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=371, FN=0, Flags=...PR..TC"
"35","0.131557924","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=371, FN=0, Flags=...PR..TC"
"36","0.131571101","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=371, FN=0, Flags=...PR..TC"
"37","0.169380016","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=372, FN=0, Flags=.......TC"
"38","0.169418933","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=372, FN=0, Flags=....R..TC"
"39","0.169434092","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=372, FN=0, Flags=....R..TC"
"40","0.169449351","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=372, FN=0, Flags=....R..TC"
"41","0.189679715","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","162","QoS Data, SN=121, FN=0, Flags=.p..R..TC"
"42","0.196122456","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","162","QoS Data, SN=121, FN=0, Flags=.p..R..TC"
"43","0.196198112","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","162","QoS Data, SN=121, FN=0, Flags=.p..R..TC"
"44","0.196251147","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","162","QoS Data, SN=121, FN=0, Flags=.p..R..TC"
"45","0.202264331","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","162","QoS Data, SN=121, FN=0, Flags=.p..R..TC"
"46","0.205936358","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","159","QoS Data, SN=121, FN=0, Flags=.p..R..TC"
"47","0.205995404","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","163","QoS Data, SN=122, FN=0, Flags=.p.....TC"
"48","0.221261805","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","163","QoS Data, SN=122, FN=0, Flags=.p..R..TC"
"49","0.221296113","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","163","QoS Data, SN=123, FN=0, Flags=.p.....TC"
"50","0.221321164","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","163","QoS Data, SN=124, FN=0, Flags=.p.....TC"
"51","0.221345941","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","163","QoS Data, SN=125, FN=0, Flags=.p.....TC"
"52","0.221370442","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","169","QoS Data, SN=126, FN=0, Flags=.p.....TC"
"53","0.240173671","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=373, FN=0, Flags=...P...TC"
"54","0.240211797","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=373, FN=0, Flags=...PR..TC"
"55","0.240227230","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=373, FN=0, Flags=...PR..TC"
"56","0.243745887","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=373, FN=0, Flags=...PR..TC"
"57","0.506137860","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=127, FN=0, Flags=.p.....TC"
"58","0.517461910","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=127, FN=0, Flags=.p..R..TC"
"59","0.520665944","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=127, FN=0, Flags=.p..R..TC"
"60","0.527622675","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=127, FN=0, Flags=.p..R..TC"
"61","0.587374098","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=378, FN=0, Flags=.......TC"
"62","0.619593566","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=127, FN=0, Flags=.p..R..TC"
"63","0.635638232","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=127, FN=0, Flags=.p..R..TC"
"64","0.635669150","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=127, FN=0, Flags=.p..R..TC"
"65","0.635679747","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=128, FN=0, Flags=.p.....TC"
"66","0.638854005","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=128, FN=0, Flags=.p..R..TC"
"67","0.638868572","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=129, FN=0, Flags=.p.....TC"
"68","0.638878635","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=130, FN=0, Flags=.p.....TC"
"69","0.638893191","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=130, FN=0, Flags=.p..R..TC"
"70","0.638906658","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","165","QoS Data, SN=130, FN=0, Flags=.p..R..TC"
"71","0.638916251","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","154","QoS Data, SN=131, FN=0, Flags=.p.....TC"
"72","0.638930023","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=379, FN=0, Flags=...P...TC"
"73","0.642110687","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=379, FN=0, Flags=...P...TC"
