"No.","Time","Source","Destination","Protocol","Length","Info","wlan.qos.priority","wlan.fc.type_subtype"
"2","0.055696867","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1027, FN=0, Flags=...P...TC","","Null function (No data)"
"29","1.476205388","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=1028, FN=0, Flags=.......TC","","Null function (No data)"
"33","1.479853059","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","161","QoS Data, SN=3714, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"34","1.479871976","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","161","QoS Data, SN=3715, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"38","1.486129678","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","176","QoS Data, SN=3716, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"42","1.489862410","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","176","QoS Data, SN=3717, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"50","1.546347531","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3718, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"54","1.546406808","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1373","QoS Data, SN=3719, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"58","1.574187437","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3720, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"64","1.580564516","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3721, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"68","1.584140330","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3722, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"72","1.584200180","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=3723, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"76","1.587521006","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1373","QoS Data, SN=3724, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"82","1.596621181","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3725, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"86","1.596670934","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3726, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"88","1.596691512","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3727, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"92","1.596732851","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=3728, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"94","1.596753960","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","664","QoS Data, SN=3729, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"98","1.600249272","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","163","QoS Data, SN=3730, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"104","1.603765825","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3731, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"108","1.603819923","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3732, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"114","1.610803808","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3733, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"118","1.614217368","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","163","QoS Data, SN=3734, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"124","1.628605108","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3735, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"128","1.628659257","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3736, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"132","1.628706037","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3737, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"133","1.628718459","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3738, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"137","1.633224241","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","184","QoS Data, SN=3739, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"144","1.640104521","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3740, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"146","1.640137610","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3741, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"153","1.643768762","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","184","QoS Data, SN=3742, FN=0, Flags=.p..R..TC","Best Effort (Best Effort)","QoS Data"
"157","1.646517851","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","211","QoS Data, SN=3743, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"161","1.650004007","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","211","QoS Data, SN=3744, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"165","1.653566820","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3745, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"169","1.659048749","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","206","QoS Data, SN=3746, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"173","1.662328775","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","195","QoS Data, SN=3747, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"177","1.662384839","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","221","QoS Data, SN=3748, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"183","1.662453055","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","245","QoS Data, SN=3749, FN=0, Flags=.p..R..TC","Best Effort (Best Effort)","QoS Data"
"187","1.666025316","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","155","QoS Data, SN=3750, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"191","1.666084519","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","748","QoS Data, SN=3751, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"195","1.666133648","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","940","QoS Data, SN=3752, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
