"No.","Time","Source","Destination","Protocol","Length","Info","wlan.qos.priority","wlan.fc.type_subtype"
"167","7.302018573","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2139, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"168","7.310247165","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2140, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"170","7.361593739","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2141, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"171","7.364853186","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=488, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"173","7.368887542","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2142, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"174","7.381572961","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2143, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"175","7.386084918","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=489, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"176","7.389585216","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=489, FN=0, Flags=....R...C, BI=100, SSID=""James""","","Probe Response"
"178","7.389630668","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2144, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"179","7.442930401","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3111, FN=0, Flags=.......TC","","Null function (No data)"
"183","7.462694950","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3112, FN=0, Flags=...P...TC","","Null function (No data)"
"234","10.035212230","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","141","Probe Request, SN=3113, FN=0, Flags=....R...C, SSID=""James""","","Probe Request"
"236","10.041740903","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=527, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"238","10.082839298","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3114, FN=0, Flags=...P...TC","","Null function (No data)"
"240","10.086234817","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3115, FN=0, Flags=.......TC","","Null function (No data)"
"242","10.104144406","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3116, FN=0, Flags=...P...TC","","Null function (No data)"
"304","12.520261749","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","141","Probe Request, SN=3117, FN=0, Flags=........C, SSID=""James""","","Probe Request"
"306","12.524115789","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=558, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"311","12.581331039","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3118, FN=0, Flags=...P...TC","","Null function (No data)"
"313","12.581533196","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3119, FN=0, Flags=.......TC","","Null function (No data)"
"316","12.610214995","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3120, FN=0, Flags=...P...TC","","Null function (No data)"
"497","20.304734140","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2187, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"498","20.329793061","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2189, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"499","20.337965423","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2190, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"500","20.341685501","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=661, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"502","20.353128967","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2191, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"503","20.361344137","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2192, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"505","20.435887480","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3121, FN=0, Flags=.......TC","","Null function (No data)"
"507","20.455945160","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3122, FN=0, Flags=...P...TC","","Null function (No data)"
"560","22.986634066","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","141","Probe Request, SN=3123, FN=0, Flags=........C, SSID=""James""","","Probe Request"
"562","22.990047352","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=692, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"565","23.030209294","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3124, FN=0, Flags=...P...TC","","Null function (No data)"
"567","23.033538329","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3125, FN=0, Flags=.......TC","","Null function (No data)"
"569","23.051200763","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3126, FN=0, Flags=...P...TC","","Null function (No data)"
"617","25.599531558","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2242, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"618","25.614516606","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2243, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"625","25.749452992","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2244, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"627","25.757410224","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=735, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"630","25.766688053","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2245, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"631","25.770708080","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=736, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"634","25.859463632","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3127, FN=0, Flags=.......TC","","Null function (No data)"
"636","25.877135526","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3128, FN=0, Flags=...P...TC","","Null function (No data)"
"685","28.516678195","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","141","Probe Request, SN=3129, FN=0, Flags=........C, SSID=""James""","","Probe Request"
"687","28.520419429","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=775, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"691","28.564709156","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3130, FN=0, Flags=.......TC","","Null function (No data)"
"693","28.571150863","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3131, FN=0, Flags=...P...TC","","Null function (No data)"
"720","29.906870308","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2284, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"721","29.910167357","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=796, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"723","29.921419156","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2285, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"724","29.931351865","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=797, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"725","29.935236064","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=797, FN=0, Flags=....R...C, BI=100, SSID=""James""","","Probe Response"
"726","29.940035354","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3132, FN=0, Flags=.......TC","","Null function (No data)"
"729","30.051430727","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3133, FN=0, Flags=...P...TC","","Null function (No data)"
"780","32.822993974","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","141","Probe Request, SN=3134, FN=0, Flags=........C, SSID=""James""","","Probe Request"
"782","32.834304330","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=831, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"785","32.863105834","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3135, FN=0, Flags=...P...TC","","Null function (No data)"
"787","32.894857970","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3136, FN=0, Flags=.......TC","","Null function (No data)"
"789","32.928307005","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3137, FN=0, Flags=...P...TC","","Null function (No data)"
"795","33.092361027","aa:3a:0e:b6:ed:12","Broadcast","802.11","142","Probe Request, SN=2320, FN=0, Flags=........C, SSID=""James""","","Probe Request"
"797","33.131488440","aa:3a:0e:b6:ed:12","Broadcast","802.11","142","Probe Request, SN=2322, FN=0, Flags=........C, SSID=""James""","","Probe Request"
"799","33.140946804","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=836, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"801","33.147360237","aa:3a:0e:b6:ed:12","Broadcast","802.11","142","Probe Request, SN=2323, FN=0, Flags=........C, SSID=""James""","","Probe Request"
"802","33.151154664","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=837, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"804","33.169366049","aa:3a:0e:b6:ed:12","Broadcast","802.11","142","Probe Request, SN=2324, FN=0, Flags=........C, SSID=""James""","","Probe Request"
"806","33.185226926","aa:3a:0e:b6:ed:12","Broadcast","802.11","142","Probe Request, SN=2325, FN=0, Flags=........C, SSID=""James""","","Probe Request"
"807","33.206391339","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3138, FN=0, Flags=.......TC","","Null function (No data)"
"809","33.257712263","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3139, FN=0, Flags=...P...TC","","Null function (No data)"
"878","36.298705845","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2366, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"879","36.302437664","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=879, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"881","36.306733837","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2367, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"882","36.312098477","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=880, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"884","36.318675856","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2368, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"885","36.326817955","aa:3a:0e:b6:ed:12","Broadcast","802.11","137","Probe Request, SN=2369, FN=0, Flags=........C, SSID=Wildcard (Broadcast)","","Probe Request"
"894","36.696972133","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3140, FN=0, Flags=.......TC","","Null function (No data)"
"896","36.704963430","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3141, FN=0, Flags=...P...TC","","Null function (No data)"
"946","38.911250318","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3143, FN=0, Flags=.......TC","","Null function (No data)"
"948","38.914715101","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","141","Probe Request, SN=3142, FN=0, Flags=....R...C, SSID=""James""","","Probe Request"
"950","38.918031824","5a:ef:68:0f:bd:90","aa:3a:0e:b6:ed:12","802.11","218","Probe Response, SN=916, FN=0, Flags=........C, BI=100, SSID=""James""","","Probe Response"
"952","38.921353574","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3144, FN=0, Flags=...P...TC","","Null function (No data)"
"984","40.350498142","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=3145, FN=0, Flags=.......TC","","Null function (No data)"
"990","40.360171528","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","186","QoS Data, SN=3699, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"994","40.363570319","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","171","QoS Data, SN=3700, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"998","40.363600819","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","147","QoS Data, SN=3701, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
