"No.","Time","Source","Destination","Protocol","Length","Info","wlan.qos.priority","wlan.fc.type_subtype"
"2","0.071207386","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=472, FN=0, Flags=...P...TC","","Null function (No data)"
"4","0.097327157","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=473, FN=0, Flags=.......TC","","Null function (No data)"
"49","0.250976107","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=474, FN=0, Flags=...P...TC","","Null function (No data)"
"77","0.459802865","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=475, FN=0, Flags=.......TC","","Null function (No data)"
"83","0.463069365","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","167","QoS Data, SN=1429, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"104","0.863451400","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=476, FN=0, Flags=...P...TC","","Null function (No data)"
"116","1.267169672","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=477, FN=0, Flags=.......TC","","Null function (No data)"
"120","1.270479423","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","350","QoS Data, SN=1430, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"121","1.270504011","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1369","QoS Data, SN=1431, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"122","1.270517836","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1373","QoS Data, SN=1432, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"123","1.270531491","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1373","QoS Data, SN=1433, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"124","1.270544460","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1373","QoS Data, SN=1434, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"125","1.270557749","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1373","QoS Data, SN=1435, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"126","1.270570845","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1373","QoS Data, SN=1436, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"127","1.270583713","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","1373","QoS Data, SN=1437, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"128","1.270597180","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:8f","802.11","247","QoS Data, SN=1438, FN=0, Flags=.p.....TC","Best Effort (Best Effort)","QoS Data"
"133","1.349301058","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=478, FN=0, Flags=...P...TC","","Null function (No data)"
"134","1.352582575","aa:3a:0e:b6:ed:12","5a:ef:68:0f:bd:90","802.11","66","Null function (No data), SN=478, FN=0, Flags=...P...TC","","Null function (No data)"
