sample_no,No.,Time,Source,Destination,Protocol,Length,Info,avrg_len,var_len,IAT,avrg_IAT,var_IAT,count,upload_count
0,1698,12.256397128,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:90,EAPOL,197,Key (Message 2 of 4),201.05050505050505,18002.14972055582,0.00977961399999927,0.009064664527918778,0.0004734402251973663,198,196
1,2784,14.309030569,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=88, FN=0, Flags=.p..R..TC",261.111833550065,223569.88070613914,0.27667414300000104,0.0028656315188556594,0.00022681221095969257,769,748
2,5036,16.324994732,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=541, FN=0, Flags=.p..R..TC",226.27377049180328,146327.23691351048,0.08896766799999867,0.0032257700147540935,0.00033545155951824555,610,602
3,6689,18.25118269,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,120,"QoS Data, SN=7, FN=0, Flags=.p.....TC",269.7476489028213,253879.84673700674,0.04743591700000138,0.003084717567398119,0.00031783311002949366,638,618
4,8413,20.298304555,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,382,"QoS Data, SN=1131, FN=0, Flags=.p..R..TC",316.00975609756097,336087.3234337637,0.12650797400000258,0.01011859760000001,0.0010716212455009555,205,196
5,9664,22.260988765,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1242, FN=0, Flags=.p..R..TC",187.05587392550143,66602.28525239156,0.01487967599999962,0.0028653838595988513,0.00017995436975263746,698,693
6,11868,24.249489172,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1481, FN=0, Flags=.p..R..TC",162.63673469387754,34070.15028437606,0.0033421490000016263,0.007558730571428582,0.0032314455352069255,245,244
7,13198,26.263723086,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=1580, FN=0, Flags=.p.....TC",321.70212765957444,417213.5690125477,0.1656870729999973,0.009107829723404242,0.0010623669447449478,235,220
8,14416,28.263473737,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1715, FN=0, Flags=.p.....TC",207.80100755667507,140922.89212019445,0.025097739000003116,0.004534418078085643,0.0003988232396847968,397,388
9,16369,30.252530955,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=1897, FN=0, Flags=.p.....TC",223.66367713004485,185841.45844948085,0.21399098000000194,0.008993086112107638,0.0021132115129884094,223,218
10,17531,32.554865135,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,159,"QoS Data, SN=1998, FN=0, Flags=.p.....TC",218.4792703150912,192159.17357288863,7.975500000156899e-05,0.003641031845771136,0.00033631805740773856,603,588
11,19403,34.25941602,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=2382, FN=0, Flags=.p.....TC",271.60677966101696,316199.72287416155,0.019875639000005663,0.0033905651237288205,0.0003702219163055339,590,566
12,21534,36.278343024,aa:3a:0e:b6:ed:12,5a:ef:68:0f:bd:8f,802.11,147,"QoS Data, SN=2705, FN=0, Flags=.p.....TC",229.0059171597633,215469.81221788263,0.03836921999999987,0.003948889773175532,0.00028761887813370454,507,493
