sample_no,avrg_len,var_len,avrg_IAT,var_IAT,count,upload_count
0,201.05050505050505,17911.229772472205,0.009064664527918778,0.000471036975323268,198,196
1,261.111833550065,223279.15264280216,0.0028656315188556594,0.0002265172666021377,769,748
2,226.27377049180328,146087.35619725884,0.0032257700147540935,0.00033490163892887137,610,602
3,269.7476489028213,253481.9159427481,0.003084717567398119,0.0003173349390106386,638,618
4,316.00975609756097,334447.8730755502,0.01011859760000001,0.0010663938247911947,205,196
5,187.05587392550143,66506.86650561163,0.0028653838595988513,0.00017969655546932423,698,693
6,162.63673469387754,33931.08844648065,0.007558730571428582,0.003218255961593836,245,244
7,321.70212765957444,415438.19212313264,0.009107829723404242,0.0010578462343417778,235,220
8,207.80100755667507,140567.92261863223,0.004534418078085643,0.00039781864714151017,397,388
9,223.66367713004485,185008.0886806491,0.008993086112107638,0.002103735228176802,223,218
10,218.4792703150912,191840.5016432487,0.003641031845771136,0.00033576031601900263,603,588
11,271.60677966101696,315663.79114047653,0.0033905651237288205,0.00036959442153213466,590,566
12,229.0059171597633,215044.82245019448,0.003948889773175532,0.00028705158251608384,507,493
13,198.49424269264836,130866.56706162765,0.001769867457927375,0.00010119423360069236,1129,1111
14,213.22485207100593,182506.61512201955,0.002821647165680466,0.0004549600898429596,676,661
15,220.74535809018568,205423.24550232553,0.002751264945623344,0.00015848579181145067,754,735
16,214.66099290780141,185661.51486142562,0.0026927193375886533,0.00016978118841696671,705,689
17,220.31802911534155,197462.04891347254,0.00235246608174692,9.679597532211517e-05,893,871
18,211.9735234215886,181960.52679389913,0.003022241832993894,0.0007479774901732095,491,480
19,158.42168674698794,6.605312817535173,0.02916350651807223,0.03668988351762937,83,83
20,228.12646370023418,210566.29314042194,0.004926137604215458,0.000531180396680054,427,416
21,153.9757281553398,162.10135262512978,0.009685624466019435,0.002144899393027287,206,206
22,221.85106382978722,151472.0558322015,0.0035779770177304963,0.00024097990554352872,564,554
23,256.49625935162095,232692.63901343933,0.002483855316708227,7.020777255551277e-05,802,782
24,288.7823834196891,236929.85730623675,0.002082561289119172,6.809124505052432e-05,965,945
25,292.7012987012987,337522.5159723392,0.002549518053246759,0.0001115404365171078,770,738
26,317.6352549889135,416428.60642892594,0.0022522626308203978,0.00020349128318283705,902,852
27,257.9026651216686,236932.7298074978,0.002292342896871367,0.00015686136230388131,863,839
28,263.228813559322,313477.379847745,0.007264275682203447,0.0014205522050905388,236,226
29,295.4637188208617,389966.035531749,0.0026221750328798044,0.00037829377740401527,882,839
30,257.97386870618226,283678.72525724425,0.0012208113275971961,3.446450855218313e-05,1569,1514
31,298.50698324022346,385834.9510685529,0.002898626037709506,0.00018914877809844146,716,681
32,290.4932735426009,359734.3351565485,0.004212588910313892,0.0006577735391624914,446,423
33,292.06451612903226,159887.93132154,0.04813123922580675,0.010843194438120962,31,31
34,215.58947368421053,41566.93673130193,0.026543104199999928,0.018227870455171147,95,95
35,159.0,0.0,0.031616392185185305,0.02488590436078725,27,27
36,238.0,55694.666666666664,0.1298371559999999,0.14564968781402662,18,18
38,140.44444444444446,222.9135802469135,0.4979311920000005,1.1093680719543044,9,9
39,135.0,0.0,0.23043765412499972,0.17975767610314228,8,8
41,212.375,187.484375,0.14304111774999959,0.412188945637666,24,24
42,276.69354838709677,77483.2931841832,0.02535698762096775,0.03045184656858077,124,124
43,149.78571428571428,54.64455782312879,0.024103431178571572,0.00609272002412141,84,84
44,281.31976744186045,346579.43263250415,0.0018911555096899153,6.25213903244866e-05,1032,986
45,288.35774647887325,379553.3903273164,0.0014427003492957584,3.740804683385924e-05,355,337
46,167.0,0.0,2.6902677080000075,0.0,1,1
47,154.40740740740742,395.9451303155005,0.05164407612962952,0.038078980597002994,54,54
48,138.42857142857142,29.387755102040824,0.2456990189999999,0.34148880650059443,7,7
49,159.0,0.0,0.5454137940000123,0.0,1,1
51,174.25,647.6875,1.2964648147499993,3.5056025094739818,4,4
52,147.0,0.0,0.4145462173333338,0.3304148352081571,3,3
53,147.0,0.0,1.0475516334999995,1.0011935649369226,2,2
55,642.04,115324.5184,0.16406623263999962,0.4882950843675397,25,25
56,153.64705882352942,38.01446995910668,0.015871484058823597,0.010775752088675827,187,187
57,160.4156378600823,107.95481718572682,0.00897229283539093,0.003439186072659702,243,243
58,156.96385542168676,34.74568152126607,0.012047477198795108,0.005605974978404844,166,166
59,153.74358974358975,2700.28809993425,0.0050113337589743736,0.00026513663366763547,390,390
60,146.8092485549133,4.385579204116424,0.0101393315433527,0.0008489767674671561,173,173
61,167.03296703296704,13406.372539548362,0.01266549892857128,0.002210126439034631,182,182
62,218.984126984127,45778.36482741244,0.03179598887301596,0.010107279992256494,63,63
63,247.7888888888889,82186.44432098765,0.010761334861111195,0.0011410734817851715,180,180
64,146.70731707317074,3.4265318262938758,0.02451249641463375,0.013927862383835374,41,41
65,476.26153846153846,233712.20852071024,0.023535309823077017,0.022286809867973767,130,130
66,551.5507246376811,563275.0082965764,0.007237472192028926,0.0009086036682395784,276,252
67,380.8296703296703,436050.5588998914,0.011005034835164906,0.0011952559476504322,182,169
68,623.6994219653179,896269.447225099,0.009096487208092486,0.0009988463197338948,173,143
70,720.8215767634855,903158.3042647338,0.017686215950207477,0.02888748036904508,241,199
71,216.0,0.0,0.871360205000002,0.0,1,1
76,734.5909090909091,227998.24173553716,0.5013479384545447,3.99847177463803,22,22
77,854.8666666666667,272138.3822222222,0.1367898637333345,0.08233758233340491,15,15
78,482.1774193548387,261590.02766215758,0.011409103849462313,0.0010507563107683604,186,186
79,170.50920245398774,4721.010651511161,0.012131126895705608,0.0009645802306634427,163,163
80,160.11428571428573,10.272653061224394,0.01901960043809503,0.004287816636785706,105,105
81,168.66666666666666,576.2222222222224,0.1342548938333342,0.027649078064399053,6,6
82,120.0,0.0,2.8059093850000068,0.0,1,1
83,165.0,100.0,0.028852497900000173,0.01419785645800396,20,20
85,157.1818181818182,91.23966942148765,0.47438550872727153,2.1586767549743984,11,11
87,416.109243697479,176198.83680531042,0.034322587462185083,0.07187774910055576,119,119
88,158.9787234042553,119.51018560434589,0.05262976725531888,0.022207662317497483,47,47
89,162.97222222222223,110.24922839506175,0.04271424922222246,0.021529309773315655,36,36
90,157.64285714285714,387.2295918367346,0.1642155675000002,0.06446982640247435,14,14
91,240.49425287356323,63976.59479455671,0.026557719931034448,0.00711310217270827,87,87
92,390.82608695652175,97554.23062381853,0.03249593106521702,0.010839856850218625,46,46
